benchmark,instance_idx,vnn_rel,verdict,call_idx,level,event,tau_k,phi_q_quantile,phi_min,phi_mean,phi_max,was_clamped,frac_in_U,mh_accept_rate
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,UNSAT,0,10,level_complete,5.448509216308594,5.448509216308594,5.293097019195557,5.421363353729248,5.448491096496582,False,0.0,0.73275
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,UNSAT,0,11,level_complete,5.389340877532959,5.389340877532959,5.235649108886719,5.361794471740723,5.38933801651001,False,0.0,0.72855
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,UNSAT,0,12,level_complete,5.328798770904541,5.328798770904541,5.160942077636719,5.302018165588379,5.328798770904541,False,0.0,0.7397
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,UNSAT,0,13,level_complete,5.270088195800781,5.270088195800781,5.145171165466309,5.24602746963501,5.270072937011719,False,0.0,0.72805
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,UNSAT,0,14,level_complete,5.218845367431641,5.218845367431641,5.082874298095703,5.1956281661987305,5.218829154968262,False,0.0,0.72
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,UNSAT,0,15,level_complete,5.166688442230225,5.166688442230225,5.039187431335449,5.144157409667969,5.166683673858643,False,0.0,0.70025
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,UNSAT,0,16,level_complete,5.117493629455566,5.117493629455566,4.991667747497559,5.095081329345703,5.1174845695495605,False,0.0,0.7073
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,UNSAT,0,17,level_complete,5.066745758056641,5.066745758056641,4.936850547790527,5.04506254196167,5.066744804382324,False,0.0,0.7025
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,UNSAT,0,18,level_complete,5.018260478973389,5.018260478973389,4.897736549377441,4.997720718383789,5.018245697021484,False,0.0,0.6853
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,UNSAT,0,19,level_complete,4.97252082824707,4.97252082824707,4.87066125869751,4.955101013183594,4.972520351409912,False,0.0,0.61975
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,UNSAT,0,20,level_complete,4.934085845947266,4.934085845947266,4.846673965454102,4.920550346374512,4.934070587158203,False,0.0,0.5553
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,UNSAT,0,21,level_complete,4.903745174407959,4.903745174407959,4.836393356323242,4.891435146331787,4.903736114501953,False,0.0,0.5209
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,UNSAT,0,22,level_complete,4.875997066497803,4.875997066497803,4.807867050170898,4.86674165725708,4.875992774963379,False,0.0,0.43995
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,UNSAT,0,23,level_complete,4.855582237243652,4.855582237243652,4.807079792022705,4.847853660583496,4.855582237243652,False,0.0,0.3833
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,UNSAT,0,24,level_complete,4.838594913482666,4.838594913482666,4.801968097686768,4.8320488929748535,4.838593482971191,False,0.0,0.35085
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,UNSAT,0,25,level_complete,4.823966026306152,4.823966026306152,4.787367820739746,4.818602085113525,4.823965072631836,False,0.0,0.29325
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,UNSAT,0,26,level_complete,4.811444282531738,4.811444282531738,4.7843780517578125,4.8071417808532715,4.811439514160156,False,0.0,0.24555
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,UNSAT,0,27,level_complete,4.801544189453125,4.801544189453125,4.774263381958008,4.797604560852051,4.801543235778809,False,0.0,0.2135
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,UNSAT,0,28,level_complete,4.792558193206787,4.792558193206787,4.769650459289551,4.788861274719238,4.792557239532471,False,0.0,0.211
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,UNSAT,0,29,level_complete,4.784426212310791,4.784426212310791,4.764732360839844,4.781325340270996,4.784423828125,False,0.0,0.1729
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,UNSAT,0,30,exhausted_no_detection,4.7775468826293945,4.7775468826293945,4.76402473449707,4.774957180023193,4.7775421142578125,False,0.0,0.14755
