benchmark,instance_idx,vnn_rel,verdict,call_idx,level,event,tau_k,phi_q_quantile,phi_min,phi_mean,phi_max,was_clamped,frac_in_U,mh_accept_rate
metaroom_2023,26,./vnnlib/spec_idx_129_eps_0.00000436.vnnlib,UNSAT,0,15,level_complete,1.0059947967529297,1.0059947967529297,0.953789234161377,0.9984889626502991,1.0059947967529297,False,0.0,0.0324
metaroom_2023,26,./vnnlib/spec_idx_129_eps_0.00000436.vnnlib,UNSAT,0,16,level_complete,0.9876424074172974,0.9876424074172974,0.953789234161377,0.982494056224823,0.9876374006271362,False,0.0,0.01825
metaroom_2023,26,./vnnlib/spec_idx_129_eps_0.00000436.vnnlib,UNSAT,0,17,level_complete,0.9752446413040161,0.9752446413040161,0.9537887573242188,0.97161465883255,0.9752446413040161,False,0.0,0.01165
metaroom_2023,26,./vnnlib/spec_idx_129_eps_0.00000436.vnnlib,UNSAT,0,18,level_complete,0.9645370244979858,0.9645370244979858,0.9474643468856812,0.9615746736526489,0.9645370244979858,False,0.0,0.0073
metaroom_2023,26,./vnnlib/spec_idx_129_eps_0.00000436.vnnlib,UNSAT,0,19,level_complete,0.9554088115692139,0.9554088115692139,0.9427452087402344,0.9538419842720032,0.9554088115692139,False,0.0,0.00435
metaroom_2023,26,./vnnlib/spec_idx_129_eps_0.00000436.vnnlib,UNSAT,0,20,level_complete,0.9537887573242188,0.9537887573242188,0.9423547983169556,0.9514877200126648,0.9537887573242188,False,0.0,0.0041
metaroom_2023,26,./vnnlib/spec_idx_129_eps_0.00000436.vnnlib,UNSAT,0,21,level_complete,0.9475215673446655,0.9475215673446655,0.9383888244628906,0.9463850259780884,0.9475215673446655,False,0.0,0.0015
metaroom_2023,26,./vnnlib/spec_idx_129_eps_0.00000436.vnnlib,UNSAT,0,22,level_complete,0.94339919090271,0.94339919090271,0.931180477142334,0.9430042505264282,0.94339919090271,False,0.0,0.00085
metaroom_2023,26,./vnnlib/spec_idx_129_eps_0.00000436.vnnlib,UNSAT,0,23,level_complete,0.9427003860473633,0.9427003860473633,0.931180477142334,0.9416933059692383,0.9427003860473633,False,0.0,0.00075
metaroom_2023,26,./vnnlib/spec_idx_129_eps_0.00000436.vnnlib,UNSAT,0,24,level_complete,0.9388629198074341,0.9388629198074341,0.931180477142334,0.937805712223053,0.9388629198074341,False,0.0,0.001
metaroom_2023,26,./vnnlib/spec_idx_129_eps_0.00000436.vnnlib,UNSAT,0,25,level_complete,0.9345221519470215,0.9345221519470215,0.931180477142334,0.9328424334526062,0.9345221519470215,False,0.0,0.0001
metaroom_2023,26,./vnnlib/spec_idx_129_eps_0.00000436.vnnlib,UNSAT,0,26,level_complete,0.931180477142334,0.931180477142334,0.9303580522537231,0.9311801195144653,0.931180477142334,False,0.0,5e-05
metaroom_2023,26,./vnnlib/spec_idx_129_eps_0.00000436.vnnlib,UNSAT,0,27,level_complete,0.931180477141334,0.931180477142334,0.9303580522537231,0.9311767816543579,0.931180477142334,True,0.0,0.0
metaroom_2023,26,./vnnlib/spec_idx_129_eps_0.00000436.vnnlib,UNSAT,0,28,level_complete,0.931180477140334,0.931180477142334,0.9303580522537231,0.9311472177505493,0.931180477142334,True,0.0,0.0
metaroom_2023,26,./vnnlib/spec_idx_129_eps_0.00000436.vnnlib,UNSAT,0,29,level_complete,0.931180477139334,0.931180477142334,0.9303580522537231,0.9308483004570007,0.931180477142334,True,0.0,0.0
metaroom_2023,26,./vnnlib/spec_idx_129_eps_0.00000436.vnnlib,UNSAT,0,30,exhausted_no_detection,0.9303580522537231,0.9303580522537231,0.9303580522537231,0.9303580522537231,0.9303580522537231,False,0.0,0.0
